ID	Description	Ontology/database ID	Ontology Label	Notes	Synonym needed?	New term request	Parent	Parent ID
136	sorafenib + azacytidine	DB00398; DB00928 	Sorafenib; Azacitidine					
137	SRC inhibitors	CHEBI:78332	Src Inhibitor-1	not sure if this is correct?				
138	steroids	CHEBI:35341	steroid					
139	sunitinib	DB01268	Sunitinib					
140	SYK inhibitors	PubChem CID:6419747	Syk Inhibitor					
141	tankyrase inhibitors	CHEBI:62887	tankyrase inhibitor					
142	temozolomide	DB00853 	Temozolomide					
143	trametinib	DB08911	Trametinib					
144	trastuzumab	DB00072	Trastuzumab					
145	trastuzumab + everolimus + chemotherapy	DB00072; CHEBI:68478; n/a	Trastuzumab; everolimus; n/a					
146	trastuzumab + HSP90 inhibitors	DB00072; CHEBI:63962	Trastuzumab; Hsp90 inhibitor					
147	trastuzumab + PI3K pathway inhibitors	DB00072; n/a	Trastuzumab; n/a					
148	TRK inhibitors							
149	vandetanib	DB05294	Vandetanib					
150	VEGFR inhibitors							
151	vemurafenib	DB08881	Vemurafenib					
152	vismodegib	DB08828	Vismodegib					
153	wee1 inhibitors	PubChem CID:10384072	Wee1 Inhibitor					
256	encorafenib + cetuximab	PubChem CID:50922675;  DB00002	LGX-818; Cetuximab					
257	vemurafenib + panitumumab	DB08881; DB01269	Vemurafenib; Panitumumab					
258	vemurafenib + cetuximab	DB08881; DB00002	Vemurafenib; Cetuximab					
259	E6201	PubChem CID:10172827	UNII-CZP9GB25HO					
260	binimetinib	PubChem CID:10288191	MEK162					
261	LEE011	PubChem CID:44631912	LEE-011					
262	binimetinib + LEE011	PubChem CID:10288191; PubChem CID:44631912	MEK162; LEE-011					
263	cobemetinib	PubChem CID:16222096	Cobimetinib					
264	AEB071	PubChem CID:10296883	Sotrastaurin					
265	BYL719	PubChem CID:56649450	BYL-719					
266	AEB071 + BYL719	PubChem CID:10296883; PubChem CID:56649450	Sotrastaurin; BYL-719					
267	alectinib	PubChem CID:49806720	Alectinib					
268	TAE684	PubChem CID:16038120	NVP-TAE684					
269	AMG-337							
