ID	Description	diagnosesID	Ontology ID	Ontology Label	Notes	Synonym needed?	New term request	Parent	Parent ID
37	Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA	5					Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA	Acute myeloid leukemia with recurrent genetic anomaly	Orphanet_98277
38	AML with t(9;11)(p22;q23); MLLT3-MLL	5					AML with t(9;11)(p22;q23); MLLT3-MLL	'Acute myeloid leukemia with t(9;11)(p22;q23)'	Orphanet_402017
39	AML with t(6;9)(p23;q34); DEK-NUP214	5					AML with t(6;9)(p23;q34); DEK-NUP214	'Acute myeloid leukemia with t(6;9)(p23;q34)'	Orphanet_402014
40	AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1	5					AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1	'Acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2)'	Orphanet_402020
41	AML (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	5					AML (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	'Megakaryoblastic acute myeloid leukemia with t(1;22)(p13;q13)'	Orphanet_402023
42	AML with mutated NPM1	5	Orphanet_402026	Acute myeloid leukemia with NPM1 somatic mutations	is this the same?	y			
43	AML with mutated CEBPA	5	Orphanet_319480	Acute myeloid leukemia with CEBPA somatic mutations	is this the same?	y			
44	AML with myelodysplasia-related changes	5					AML with myelodysplasia-related changes	acute myeloid leukemia	DOID_9119
45	Therapy-related myeloid neoplasms	5			should this parent be more specific?			leukemia	DOID_1240
46	"Acute myeloid leukaemia, NOS"	5					"Acute myeloid leukaemia, NOS"	acute myeloid leukemia	DOID_9119
47	AML with minimal differentiation	5					AML with minimal differentiation	acute myeloid leukemia	DOID_9119
48	AMI without maturation	5			not sure if this is meant to be AML?				
49	AML with maturation	5					AML with maturation	acute myeloid leukemia	DOID_9119
50	Acute myelomonocytic leukaemia	5	Orphanet_517	Acute myelomonocytic leukemia		y			
51	Acute monoblastic and monocytic leukaemia 	5	OMIM_151380	acute monocytic leukemia		y			
52	Acute erythroid leukaemia	5	OMIM_133180	Acute erythroid leukemia		y			
53	Acute megakaryoblastic leukaemia	5	Orphanet_518	Acute megakaryoblastic leukemia		y			
54	Acute basophilic leukaemia	5	Orphanet_86849	Acute basophilic leukemia		y			
55	Acute panmyelosis with myelofibrosis	5	Orphanet_86843	Acute panmyelosis with myelofibrosis					
56	Myeloid sarcoma	5	DOID_8683	myeloid sarcoma					
57	Transient abnormal myelopoiesis	5			not sure what the parent should be				
58	Myeloid leukaemia associated with Down syndrome	5						myeloid leukemia	DOID_8692
59	Blastic plasmacytoid dendritic cell neoplasm	5	Orphanet_86870	CD4+/CD56+ hematodermic neoplasm					
60	Acute undifferentiated leukaemia	6	Orphanet_98835	Acute undifferentiated leukemia		y			
61	Mixed phenotype acute leukaemia with t(9;22)(q34;q11.2); BCR-ABL1	6					Mixed phenotype acute leukaemia with t(9;22)(q34;q11.2); BCR-ABL1	acute leukemia	DOID_12603
62	Mixed phenotype acute leukaemia with t(v;11q23); MLL rearranged	6					Mixed phenotype acute leukaemia with t(v;11q23); MLL rearranged	acute leukemia	DOID_12603
63	"Mixed phenotype acute leukaemia, B/myeloid, NOS"	6					"Mixed phenotype acute leukaemia, B/myeloid, NOS"	acute leukemia	DOID_12603
64	"Mixed phenotype acute leukaemia, T/myeloid, NOS"	6					"Mixed phenotype acute leukaemia, T/myeloid, NOS"	acute leukemia	DOID_12603
65	Natural killer (NK) cell lymphoblastic leukaemia/lymphoma	6					Natural killer (NK) cell lymphoblastic leukaemia/lymphoma	natural killer cell leukemia	DOID_1035
66	"B lymphoblastic leukaemia/lymphoma, NOS"	7			not sure if this is the best parent?		"B lymphoblastic leukaemia/lymphoma, NOS"	"Leukemia, B-Cell"	MESH_D015448
67	B lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities	7					B lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities	"Leukemia, B-Cell"	MESH_D015448
68	B lymphoblastic leukaemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1	7					B lymphoblastic leukaemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1	"Leukemia, B-Cell"	MESH_D015448
69	B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged	7					B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged	"Leukemia, B-Cell"	MESH_D015448
70	B lymphoblastic leukaemia/lymphoma witht(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)	7					B lymphoblastic leukaemia/lymphoma witht(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)	"Leukemia, B-Cell"	MESH_D015448
71	B lymphoblastic leukaemia/lymphoma with hyperdiploidy	7					B lymphoblastic leukaemia/lymphoma with hyperdiploidy	"Leukemia, B-Cell"	MESH_D015448
72	B lymphoblastic leukaemia/lymphoma with hypodiploidy (hypodiploid ALL)	7					B lymphoblastic leukaemia/lymphoma with hypodiploidy (hypodiploid ALL)	"Leukemia, B-Cell"	MESH_D015448
73	B lymphoblastic leukaemia/lymphoma with t(5;14)(q31;q32); IL3-IGH	7					B lymphoblastic leukaemia/lymphoma with t(5;14)(q31;q32); IL3-IGH	"Leukemia, B-Cell"	MESH_D015448
74	B lymphoblastic leukaemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)	7					B lymphoblastic leukaemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)	"Leukemia, B-Cell"	MESH_D015448
75	T lymphoblastic leukaemia/lymphoma	7					T lymphoblastic leukaemia/lymphoma	lymphoblastic leukemia	DOID_1037
76	Chronic lymphocytic leukaemia/small lymphocytic lymphoma	8	DOID_6354	CLL/SLL		y			
77	B-cell prolymphocytic leukaemia	8	Orphanet_86852	B-cell prolymphocytic leukemia					
78	Splenic B-cell marginal zone lymphoma	8	DOID_0050750	splenic marginal zone lymphoma		y			
79	Hairy cell leukaemia	8	DOID_285	hairy cell leukemia					
80	"Splenic B-cell lymphoma/leukaemia, unclassifiable"	8					"Splenic B-cell lymphoma/leukaemia, unclassifiable"	B-cell lymphoma	DOID_707
81	Splenic diffuse red pulp small B-cell lymphoma	8					Splenic diffuse red pulp small B-cell lymphoma	Splenic diffuse red pulp lymphoma	Orphanet_300869
82	Hairy cell leukaemia-variant	8	DOID_713	HCL-V		y			
83	Lymphoplasmacytic lymphoma	8	DOID_0050747	Lymphoplasmacytic lymphoma					
84	Waldenstrom macroglobulinemia	8	MESH_D008258	Waldenstrom macroglobulinemia					
85	Heavy chain diseases	8	DOID_0060125	heavy chain disease		y			
86	Alpha heavy chain disease	8	Orphanet_100025	Alpha heavy-chain disease					
87	Gamma heavy chain disease	8	DOID_0060127	gamma heavy chain disease					
88	Mu heavy chain disease	8	Orphanet_100024	Mu heavy-chain disease					
89	Plasma cell myeloma	8	DOID_6536	plasma cell neoplasm					
90	Solitary plasmacytoma of bone	8	DOID_3722	solitary osseous plasmacytoma					
91	Extraosseous plasmacytoma	8	DOID_3720	extramedullary plasmacytoma					
92	Extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue (MALT lymphoma)	8	DOID_0050909	MALT lymphoma					
93	Nodal marginal zone lymphoma	8	Orphanet_86867	Nodal marginal zone B-cell lymphoma					
94	Paediatric nodal marginal zone lymphoma	8					Paediatric nodal marginal zone lymphoma	Nodal marginal zone B-cell lymphoma	Orphanet_86867
95	Follicular lymphoma	8	DOID_0050873	follicular lymphoma					
96	Paediatric follicular lymphoma	8					Paediatric follicular lymphoma	follicular lymphoma	DOID_0050873
97	Primary cutaneous follicle centre lymphoma	8	Orphanet_178540	Primary cutaneous follicle center lymphoma		y			
98	Mantle cell lymphoma	8	DOID_0050746	mantle cell lymphoma					
99	"Diffuse large B-cell lymphoma (DLBCL), NOS"	8					"Diffuse large B-cell lymphoma (DLBCL), NOS"	diffuse large B-cell lymphoma	DOID_0050745
100	T-cell/histiocyte rich large B-cell lymphoma	8	Orphanet_300857	T-cell/histiocyte rich large B cell lymphoma					
101	Primary DLBCL of the CNS	8					Primary DLBCL of the CNS	Diffuse large B-cell lymphoma of the central nervous system	Orphanet_300849
102	"Primary cutaneous DLBCL, leg type"	8	Orphanet_178544	"Primary cutaneous diffuse large B-cell lymphoma, leg type"		y			
103	EBV positive DLBCL of the elderly	8	Orphanet_289661	Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly					
104	DLBCL associated with chronic inflammation	8	Orphanet_300888	Diffuse large B-cell lymphoma with chronic inflammation		y			
105	Lymphomatoid granulomatosis	8	Orphanet_86869	Lymphomatoid granulomatosis					
106	Primary mediastinal (thymic) large B-cell lymphoma	8	Orphanet_98838	Primary mediastinal large B-cell lymphoma		y			
107	Intravascular large B-cell lymphoma	8	Orphanet_98839	Intravascular large B-cell lymphoma					
108	ALK positive large B-cell lymphoma	8	Orphanet_364043	ALK-positive large B-cell lymphoma					
109	Plasmablastic lymphoma	8	Orphanet_289666	Plasmablastic lymphoma					
110	Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease	8					Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease	B-cell lymphoma	DOID_707
111	Primary effusion lymphoma	8	Orphanet_48686	Primary effusion lymphoma					
112	Burkitt lymphoma	8	OMIM_113970	Burkitt lymphoma					
113	"B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma"	8					"B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma"	B-cell lymphoma	DOID_707
114	"B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and classical Hodgkin lymphoma"	8					"B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and classical Hodgkin lymphoma"	B-cell lymphoma	DOID_707
115	T-cell prolymphocytic leukaemia	9	Orphanet_86871	T-cell prolymphocytic leukemia		y			
116	T-cell large granular lymphocytic leukaemia	9	DOID_0050751	T-cell large granular lymphocyte leukemia					
117	Chronic lymphoproliferative disorder of NK-cells	9			not sure what the parent should be				
118	Aggressive NK cell leukaemia	9	DOID_1035	natural killer cell leukemia		y			
119	Systemic EBV positive T-cell lymphoproliferative disease of childhood	9	Orphanet_364033	Systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood					
120	Hydroa vacciniforme-like lymphoma	9	Orphanet_364039	Hydroa vacciniforme-like lymphoma					
121	Adult T-cell leukaemia/lymphoma	9	MESH_D015459	"Leukemia-Lymphoma, Adult T-Cell"		y			
122	"Extranodal NK/T cell lymphoma, nasal type"	9	MESH_D054391	"Lymphoma, Extranodal NK-T-Cell"		y			
123	Enteropathy-associated T-cell lymphoma	9	Orphanet_86880	Enteropathy-associated T-cell lymphoma					
124	Hepatosplenic T-cell lymphoma	9	Orphanet_86882	Hepatosplenic T-cell lymphoma					
125	Subcutaneous panniculitis-like T-cell lymphoma	9	Orphanet_86884	Subcutaneous panniculitis-like T-cell lymphoma		y			
126	Mycosis fungoides	9	OMIM_254400	mycosis fungoides					
127	Sezary syndrome	9	DOID_8541	Sezary's disease					
128	Primary cutaneous CD30 positive T-cell lymphoproliferative disorders	9	Orphanet_541	Primary cutaneous CD30+ T-cell lymphoproliferative disease		y			
129	Lymphomatoid papulosis	9	Orphanet_98842	Lymphomatoid papulosis					
130	Primary cutaneous anaplastic large cell lymphoma	9	Orphanet_300865	Primary cutaneous anaplastic large cell lymphoma					
131	Primary cutaneous gamma-delta T-cell lymphoma	9	Orphanet_178533	Primary cutaneous gamma/delta-positive T-cell lymphoma		y			
132	Primary cutaneous CD8 positive aggressive epidermotropic cytotoxic T-cell lymphoma	9	Orphanet_178528	Primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma		y			
133	Primary cutaneous CD4 positive small/medium T-cell lymphoma	9					Primary cutaneous CD4 positive small/medium T-cell lymphoma	Indolent primary cutaneous T-cell lymphoma	Orphanet_178548
134	"Peripheral T-cell lymphoma, NOS"	9					"Peripheral T-cell lymphoma, NOS"	peripheral T-cell lymphoma	DOID_0050749
135	Angioimmunoblastic T-cell lymphoma	9	Orphanet_86886	Angioimmunoblastic T-cell lymphoma					
136	"Anaplastic large cell lymphoma, ALK positive"	9	Orphanet_300895	ALK-positive anaplastic large cell lymphoma		y			
137	"Anaplastic large cell lymphoma, ALK negative"	9	Orphanet_300903	ALK-negative anaplastic large cell lymphoma		y			
138	Nodular lymphocyte predominant Hodgkin lymphoma	10	Orphanet:86893	Nodular lymphocyte predominant Hodgkin lymphoma					
139	Classical Hodgkin lymphoma	10	Orphanet_391	"Hodgkin lymphoma, classical"					
140	Nodular sclerosis classical Hodgkin lymphoma	10					Nodular sclerosis classical Hodgkin lymphoma	"Hodgkin lymphoma, classical"	Orphanet_391
141	Lymphocyte-rich classical Hodgkin lymphoma	10	Orphanet_98845	Lymphocyte-rich classical Hodgkin lymphoma		y			
142	Mixed cellularity classical Hodgkin lymphoma	10	Orphanet_98844	Mixed cellularity classical Hodgkin lymphoma					
143	Lymphocyte-depleted classical Hodgkin lymphoma	10					Lymphocyte-depleted classical Hodgkin lymphoma	"Hodgkin lymphoma, classical"	Orphanet_391
144	Histiocytic sarcoma	11	Orphanet_86896	Histiocytic sarcoma	another class with this label: MESH_D054747 - should this be an equivalence axiom?				
145	Langerhans cell histiocytosis	11	DOID_2571	Langerhans cell histiocytosis	another class with this label: OMIM_604856 - should this be an equivalence axiom?				
146	Langerhans cell sarcoma	11	DOID_7146	Langerhans cell sarcoma					
147	Interdigitating dendritic cell sarcoma	11	DOID_7848	interdigitating dendritic cell sarcoma					
148	Follicular dendritic cell sarcoma	11	DOID_6262	follicular dendritic cell sarcoma					
149	Fibroblastic reticular cell tumour	11			not sure what the parent should be				
150	Indeterminate dendritic cell tumour	11			not sure what the parent should be				
151	Disseminated juvenile xanthogranuloma	11					Disseminated juvenile xanthogranuloma	juvenile xanthogranuloma	DOID_4424
152	Plasmacytic hyperplasia	12					Plasmacytic hyperplasia	Hyperplasia	MESH_D006965
153	Infectious mononucleosis-like PTLD	12			not sure what PTLD stands for				
154	Polymorphic PTLD	12			not sure what PTLD stands for				
155	Monomorphic PTLD (B- and T/NK-cell types)	12			this is obsoleted				
156	Classical Hodgkin lymphoma type PTLD	12			not sure what PTLD stands for				
				92			51		
